window,n,fraud_rate,pr_auc,f1,psi_mean,psi_max,lift
0,21270,0.03376,0.4911,0.4662,0.0354,0.1564,14.55
1,20889,0.04146,0.5273,0.5057,0.0171,0.1437,12.72
2,21079,0.05071,0.5542,0.5416,0.0207,0.1664,10.93
3,23576,0.03533,0.5586,0.5638,0.0287,0.1582,15.81
4,19260,0.03775,0.4255,0.4654,0.0301,0.1322,11.27
5,18568,0.03285,0.4409,0.4648,0.0219,0.134,13.42
6,18552,0.0345,0.3699,0.3856,0.0255,0.1302,10.72
7,21443,0.03078,0.4677,0.4744,0.0314,0.1565,15.19
8,19808,0.02852,0.4244,0.4311,0.0283,0.2328,14.88
9,21037,0.03465,0.4265,0.4403,0.0078,0.0655,12.31
10,19943,0.03675,0.49,0.5008,0.0227,0.1756,13.33
11,17755,0.04207,0.4904,0.4914,0.022,0.1266,11.66
