feature,gain,coverage
V258,8403.021484375,0.2743991584353081
V187,1581.2275390625,0.2878830144417072
V141,688.193115234375,0.19262555412531382
V330,423.89471435546875,0.19341872212569025
V326,388.1603698730469,0.19341872212569025
V163,357.2922058105469,0.19262555412531382
V198,348.6668395996094,0.2878460447467744
V324,340.2569580078125,0.19341872212569025
V189,329.4697570800781,0.2878460447467744
D2,284.6299133300781,0.4878823422654357
V156,280.5226745605469,0.19262555412531382
V231,272.2353515625,0.2743991584353081
id_32,254.04359436035156,0.18249921859508436
V152,247.47146606445312,0.19262555412531382
V172,183.8706817626953,0.2878830144417072
V164,174.6736297607422,0.19262555412531382
V190,151.00900268554688,0.2878830144417072
id_01,140.47560119628906,0.29755227010731294
V143,136.13995361328125,0.19262555412531382
V158,134.7514190673828,0.19262555412531382
