window,policy,pr_auc,f1,psi_mean,fired,promoted,n_retrain_cum,train_secs
0,static,0.4915,0.4666,0.0354,0,0,0,0.0
1,static,0.5284,0.5064,0.0171,0,0,0,0.0
2,static,0.5535,0.5422,0.0207,0,0,0,0.0
3,static,0.5581,0.5617,0.0287,0,0,0,0.0
4,static,0.354,0.3971,0.0993,0,0,0,0.0
5,static,0.3802,0.4033,0.0905,0,0,0,0.0
6,static,0.3165,0.3248,0.0929,0,0,0,0.0
7,static,0.4265,0.3939,0.0942,0,0,0,0.0
8,static,0.3806,0.3613,0.0945,0,0,0,0.0
9,static,0.3732,0.3605,0.0905,0,0,0,0.0
10,static,0.434,0.4123,0.1048,0,0,0,0.0
11,static,0.4405,0.4305,0.0934,0,0,0,0.0
0,scheduled,0.4915,0.4666,0.0354,0,0,0,0.0
1,scheduled,0.5284,0.5064,0.0171,0,0,0,0.0
2,scheduled,0.5535,0.5422,0.0207,0,0,0,0.0
3,scheduled,0.5581,0.5617,0.0287,1,1,1,22.1
4,scheduled,0.4185,0.4313,0.0993,0,0,1,0.0
5,scheduled,0.3817,0.4016,0.0905,0,0,1,0.0
6,scheduled,0.2994,0.3228,0.0929,1,1,2,22.2
7,scheduled,0.4531,0.423,0.0942,0,0,2,0.0
8,scheduled,0.3729,0.3801,0.0945,0,0,2,0.0
9,scheduled,0.4087,0.3937,0.0905,1,1,3,22.7
10,scheduled,0.536,0.5293,0.1048,0,0,3,0.0
11,scheduled,0.5391,0.525,0.0934,0,0,3,0.0
0,psi,0.4915,0.4666,0.0354,0,0,0,0.0
1,psi,0.5284,0.5064,0.0171,0,0,0,0.0
2,psi,0.5535,0.5422,0.0207,0,0,0,0.0
3,psi,0.5581,0.5617,0.0287,0,0,0,0.0
4,psi,0.354,0.3971,0.0993,1,1,1,21.8
5,psi,0.4037,0.4202,0.0905,1,1,2,21.9
6,psi,0.3346,0.3441,0.0929,1,1,3,22.1
7,psi,0.4531,0.423,0.0942,1,1,4,22.2
8,psi,0.4571,0.4642,0.0945,1,1,5,22.8
9,psi,0.4695,0.4648,0.0905,1,1,6,23.0
10,psi,0.536,0.5293,0.1048,1,1,7,23.0
11,psi,0.5412,0.5077,0.0934,1,1,8,22.7
